model,domain,task,organization,authors,publication_date,reference,link,citations,notability_criteria,parameters,training_compute_(flop),training_dataset_size_(gradients),training_time_(hours),training_hardware,approach,confidence,epochs,model_accessibility,country,base_model,finetune_compute_(flop),hardware_quantity,last_modified,training_cloud_compute_vendor,batch_size,organization_categorization,foundation_model,training_chip-hours,training_code_accessibility,possibly_over_1e23_flop,training_compute_cost_(2023_usd),frontier_model,training_power_draw_(w),training_compute_estimation_method,year,era,notable_model,country_first,domain_group,export_controls_sum,publication_count
GPT-5 Pro,"Multimodal,Language,Vision",,OpenAI,Unknown,2025-10-07,GPT-5 System Card,https://cdn.openai.com/gpt-5-system-card.pdf,,"Significant use,Historical significance",,,,,,,Unknown,,API access,United States,,,,2025-10-15 00:03:42+00:00,,,Industry,False,,,False,,False,,,2025,Deep learning era,True,United States,Multimodal,31.0,12.493526880374354
Gemini 2.5 Computer Use,"Language,Vision,Video,Multimodal,Speech","Language modeling/generation,Question answering,Code generation,Quantitative reasoning,Visual question answering,Translation,Image captioning,Video description,Speech recognition (ASR),System control,Search",Google,Unknown,2025-10-07,Introducing the Gemini 2.5 Computer Use model,https://blog.google/technology/google-deepmind/gemini-computer-use-model/,,,,,,,,,Unknown,,API access,Multinational,Gemini 2.5 Pro,,,2025-10-16 17:20:17+00:00,,,Industry,False,,Unreleased,False,,False,,,2025,Deep learning era,False,United States,Multimodal,31.0,12.493526880374354
Tiny Recursive Model (TRM-Att),"Language,Vision,Multimodal","Language modeling/generation,Question answering,Visual puzzles",Samsung SAIT AI Lab,Alexia Jolicoeur-Martineau,2025-10-06,Less is More: Recursive Reasoning with Tiny Networks,https://arxiv.org/abs/2510.04871,,,7000000.0,3.07742976e+20,,72.0,NVIDIA H100 SXM5 80GB,,Confident,,Unreleased,Multinational,,,4.0,2025-10-20 19:53:06+00:00,,,Industry,False,,Open source,False,,False,5469.225394941245,Hardware,2025,Deep learning era,False,Canada,Multimodal,,1.607221283764962
Granite-4.0-H-Tiny,Language,"Language modeling/generation,Question answering,Text summarization,Text classification,Retrieval-augmented generation,Code generation",IBM,Unknown,2025-10-02,"IBM Granite 4.0: hyper-efficient, high performance hybrid models for enterprise","https://www.ibm.com/new/announcements/ibm-granite-4-0-hyper-efficient-high-performance-hybrid-models#:~:text=We're%20launching%20Granite%204,costs%20compared%20to%20conventional%20LLMs.",,,7000000000.0,1.35e+23,,,NVIDIA GB200 NVL2 (per GPU),,Confident,,Open weights (unrestricted),United States,,,,2025-10-08 21:01:36+00:00,,,Industry,False,,Unreleased,False,,False,,Operation counting,2025,Deep learning era,False,United States,Language,31.0,12.493526880374354
Granite-4.0-H-Micro,Language,"Language modeling/generation,Question answering,Text summarization,Text classification,Retrieval-augmented generation,Code generation",IBM,Unknown,2025-10-02,"IBM Granite 4.0: hyper-efficient, high performance hybrid models for enterprise","https://www.ibm.com/new/announcements/ibm-granite-4-0-hyper-efficient-high-performance-hybrid-models#:~:text=We're%20launching%20Granite%204,costs%20compared%20to%20conventional%20LLMs.",,,3000000000.0,3.15e+23,,,NVIDIA GB200 NVL2 (per GPU),,Confident,,Open weights (unrestricted),United States,,,,2025-10-08 21:01:53+00:00,,,Industry,False,,Unreleased,False,,False,,Operation counting,2025,Deep learning era,False,United States,Language,31.0,12.493526880374354
Granite-4.0-H-Small,Language,"Language modeling/generation,Question answering,Text summarization,Text classification,Retrieval-augmented generation,Code generation",IBM,Unknown,2025-10-02,"IBM Granite 4.0: hyper-efficient, high performance hybrid models for enterprise","https://www.ibm.com/new/announcements/ibm-granite-4-0-hyper-efficient-high-performance-hybrid-models#:~:text=We're%20launching%20Granite%204,costs%20compared%20to%20conventional%20LLMs.",,,32000000000.0,1.215e+24,,,NVIDIA GB200 NVL2 (per GPU),,Confident,,Open weights (unrestricted),United States,,,,2025-10-08 21:01:02+00:00,,,Industry,False,,Unreleased,False,,False,,Operation counting,2025,Deep learning era,False,United States,Language,31.0,12.493526880374354
Octave 2,Speech,"Speech synthesis,Text-to-speech (TTS)",Hume,Unknown,2025-10-01,Octave 2: next-generation multilingual voice AI,https://www.hume.ai/blog/octave-2-launch,,,,,,,,,Unknown,,API access,United States,,,,2025-10-09 16:48:08+00:00,,,Industry,False,,Unreleased,False,,False,,,2025,Deep learning era,False,United States,Audio,31.0,12.493526880374354
EVI 4 mini,Speech,"Speech-to-speech,Audio question answering",Hume,Unknown,2025-10-01,Lightweight model tuned for emotive multilingual experiences,https://www.hume.ai/blog/octave-2-launch,,,,,,,,,Unknown,,API access,United States,,,,2025-10-09 16:51:46+00:00,,,Industry,False,,Unreleased,False,,False,,,2025,Deep learning era,False,United States,Audio,31.0,12.493526880374354
GLM 4.6,Language,"Language modeling/generation,Question answering,Code generation,Quantitative reasoning,System control","Zhipu AI,Tsinghua University",Unknown,2025-09-30,"GLM-4.6: Advanced Agentic, Reasoning and Coding Capabilities",https://z.ai/blog/glm-4.6,,Discretionary,357000000000.0,4.42e+24,23000000000000.0,2880.0,,,Likely,,Open weights (unrestricted),China,,,,2025-10-22 15:17:51+00:00,,,"Academia, Industry",False,,Unreleased,False,,False,,Operation counting,2025,Deep learning era,True,China,Language,2.0,34.84465752823738
Sora 2.0,Video,"Video generation,Text-to-video",OpenAI,Unknown,2025-09-30,Sora 2 is here,https://openai.com/index/sora-2/,,Significant use,,,,,,,Unknown,,Hosted access (no API),United States,,,,2025-10-08 21:29:54+00:00,,,Industry,False,,Unreleased,False,,False,,,2025,Deep learning era,True,United States,Vision,31.0,12.493526880374354
Kandinsky 5.0 Video Lite,Video,"Video generation,Text-to-video",Sber,"Project Leader: Denis Dimitrov

Team Leads: Vladimir Arkhipkin, Vladimir Korviakov, Nikolai Gerasimenko, Denis Parkhomenko

Core Contributors: Alexey Letunovskiy, Maria Kovaleva, Ivan Kirillov, Lev Novitskiy, Denis Koposov, Dmitrii Mikhailov, Anna Averchenkova, Andrey Shutkin, Julia Agafonova, Olga Kim, Anastasiia Kargapoltseva, Nikita Kiselev

Contributors: Anna Dmitrienko, Anastasia Maltseva, Kirill Chernyshev, Ilia Vasiliev, Viacheslav Vasilev, Vladimir Polovnikov, Yury Kolabushin, Alexander Belykh, Mikhail Mamaev, Anastasia Aliaskina, Tatiana Nikulina, Polina Gavrilova",2025-09-30,Kandinsky 5.0 Video Lite is the best open-source high-quality video generator in the lightweight class.,https://habr.com/ru/companies/sberbank/articles/951800/,,,2000000000.0,,,,,,Confident,,Open weights (unrestricted),Russia,,,,2025-10-16 21:12:35+00:00,,,"Industry, Government",False,,Unreleased,False,,False,,,2025,Deep learning era,False,Russia,Vision,,
Claude Sonnet 4.5,"Language,Vision,Multimodal","Language modeling/generation,Code generation,System control,Question answering,Quantitative reasoning,Mathematical reasoning,Visual question answering",Anthropic,Unknown,2025-09-29,Introducing Claude Sonnet 4.5,https://www.anthropic.com/news/claude-sonnet-4-5,,SOTA improvement,,,,,,,Unknown,,API access,United States,,,,2025-10-21 12:29:58+00:00,,,Industry,False,,Unreleased,False,,False,,,2025,Deep learning era,True,United States,Multimodal,31.0,12.493526880374354
NVIDIA Isaac GR00T N1.6,"Robotics,Vision,Language","Robotic manipulation,Animal (human/non-human) imitation,Instruction interpretation",NVIDIA,Unknown,2025-09-29,NVIDIA Accelerates Robotics Research and Development With New Open Models and Simulation Libraries,https://nvidianews.nvidia.com/news/nvidia-accelerates-robotics-research-and-development-with-new-open-models-and-simulation-libraries,,,,,,,,,Unknown,,Unreleased,Multinational,,,,2025-10-09 16:36:25+00:00,,,Industry,False,,Unreleased,False,,False,,,2025,Deep learning era,False,United States,Multimodal,31.0,12.493526880374354
Cosmos-Transfer2.5-2B,"Video,Image generation","Video generation,Text-to-video,Image-to-video,Image generation,Text-to-image,Video-to-video",NVIDIA,Unknown,2025-09-29,World Generation with Adaptive Multimodal Control,"https://research.nvidia.com/labs/dir/cosmos-transfer2.5/

https://research.nvidia.com/publication/2025-09_world-simulation-video-foundation-models-physical-ai",,,2000000000.0,,,,,,Confident,,Open weights (restricted use),Multinational,Cosmos-Predict2.5 2B,,,2025-10-09 18:32:56+00:00,,,Industry,False,,Unreleased,False,,False,,,2025,Deep learning era,False,United States,Vision,31.0,12.493526880374354
Cosmos-Predict2.5-14B,Video,"Video generation,Text-to-video,Image-to-video,Video-to-video",NVIDIA,Unknown,2025-09-29,World Simulation with Video Foundation Models for Physical AI,https://research.nvidia.com/publication/2025-09_world-simulation-video-foundation-models-physical-ai,,,14000000000.0,,,,NVIDIA H100 SXM5 80GB,,Confident,,Unreleased,Multinational,,,4096.0,2025-10-09 18:32:56+00:00,,,Industry,False,,Unreleased,False,,False,5601359.907709977,,2025,Deep learning era,False,United States,Vision,31.0,12.493526880374354
Cosmos-Predict2.5 2B,Video,"Video generation,Text-to-video,Image-to-video,Video-to-video",NVIDIA,Unknown,2025-09-29,World Simulation with Video Foundation Models for Physical AI,https://research.nvidia.com/publication/2025-09_world-simulation-video-foundation-models-physical-ai,,,2000000000.0,,,,NVIDIA H100 SXM5 80GB,,Confident,,Open weights (restricted use),Multinational,,,4096.0,2025-10-09 18:32:54+00:00,,,Industry,False,,Unreleased,False,,False,5601359.907709977,,2025,Deep learning era,False,United States,Vision,31.0,12.493526880374354
DeepSeek-V3.2-Exp,Language,"Language modeling/generation,Code generation,Quantitative reasoning,Question answering,Search,System control,Instruction interpretation",DeepSeek,Unknown,2025-09-29,Introducing DeepSeek-V3.2-Exp,https://github.com/deepseek-ai/DeepSeek-V3.2-Exp/blob/main/DeepSeek_V3_2.pdf,,,671000000000.0,3.8035594e+24,943700000000.0,,,,Confident,,Open weights (unrestricted),China,DeepSeek-V3.1-Terminus,2.095014e+23,,2025-10-16 16:58:23+00:00,,,Industry,False,,Unreleased,False,,False,,Operation counting,2025,Deep learning era,False,China,Language,2.0,34.84465752823738
MinerU2.5,"Language,Vision,Multimodal","Visual question answering,Character recognition (OCR)","Shanghai AI Lab,Peking University,Shanghai Jiao Tong University","Junbo Niu, Zheng Liu, Zhuangcheng Gu, Bin Wang, Linke Ouyang, Zhiyuan Zhao, Tao Chu, Tianyao He, Fan Wu, Qintong Zhang, Zhenjiang Jin, Guang Liang, Rui Zhang, Wenzheng Zhang, Yuan Qu, Zhifei Ren, Yuefeng Sun, Yuanhong Zheng, Dongsheng Ma, Zirui Tang, Boyu Niu, Ziyang Miao, Hejun Dong, Siyi Qian, Junyuan Zhang, Jingzhou Chen, Fangdong Wang, Xiaomeng Zhao, Liqun Wei, Wei Li, Shasha Wang, Ruiliang Xu, Yuanyuan Cao, Lu Chen, Qianqian Wu, Huaiyu Gu, Lindong Lu, Keming Wang, Dechen Lin, Guanlin Shen, Xuanhe Zhou, Linfeng Zhang, Yuhang Zang, Xiaoyi Dong, Jiaqi Wang, Bo Zhang, Lei Bai, Pei Chu, Weijia Li, Jiang Wu, Lijun Wu, Zhenxiang Li, Guangyu Wang, Zhongying Tu, Chao Xu, Kai Chen, Yu Qiao, Bowen Zhou, Dahua Lin, Wentao Zhang, Conghui He",2025-09-29,MinerU2.5: A Decoupled Vision-Language Model for Efficient High-Resolution Document Parsing,https://arxiv.org/abs/2509.22186,,,1200000000.0,,,,,,Confident,,Open weights (unrestricted),China,"Qwen2-VL-2B,Qwen2-0.5B",,,2025-10-16 18:48:46+00:00,,,Academia,False,,Unreleased,False,,False,,,2025,Deep learning era,False,China,Multimodal,2.0,34.84465752823738
Wan 2.5,"Video,Vision","Video generation,Audio generation,Text-to-video,Image-to-video",Alibaba,Unknown,2025-09-29,Wan 2.5 AI Video Generator with Audio Sync,https://www.wan-ai.co/wan-2-5,,,,,,,,,Unknown,,Unreleased,China,,,,2025-10-16 20:43:33+00:00,,,Industry,False,,Unreleased,False,,False,,,2025,Deep learning era,False,China,Vision,2.0,34.84465752823738
Seedream 4.0,Image generation,"Image generation,Text-to-image",ByteDance,"Yunpeng Chen, Yu Gao, Lixue Gong, Meng Guo, Qiushan Guo, Zhiyao Guo, Xiaoxia Hou, Weilin Huang, Yixuan Huang, Xiaowen Jian, Huafeng Kuang, Zhichao Lai, Fanshi Li, Liang Li, Xiaochen Lian, Chao Liao, Liyang Liu, Wei Liu, Yanzuo Lu, Zhengxiong Luo, Tongtong Ou, Guang Shi, Yichun Shi, Shiqi Sun, Yu Tian, Zhi Tian, Peng Wang, Rui Wang, Xun Wang, Ye Wang, Guofeng Wu, Jie Wu, Wenxu Wu, Yonghui Wu, Xin Xia, Xuefeng Xiao, Shuang Xu, Xin Yan, Ceyuan Yang, Jianchao Yang, Zhonghua Zhai, Chenlin Zhang, Heng Zhang, Qi Zhang, Xinyu Zhang, Yuwei Zhang, Shijia Zhao, Wenliang Zhao, Wenjia Zhu",2025-09-28,Seedream 4.0: Toward Next-generation Multimodal Image Generation,https://arxiv.org/abs/2509.20427,,,,,,,,,Unknown,,API access,China,,,,2025-10-17 19:17:46+00:00,,,Industry,False,,Unreleased,False,,False,,,2025,Deep learning era,False,China,Vision,2.0,34.84465752823738
Kling 2.5 Turbo,"Video,Vision","Image-to-video,Video generation",Kuaishou Technology,Unknown,2025-09-26,"Kling AI Launches 2.5 Turbo Video Model: Industry-Leading Performance, Now More Affordable",https://ir.kuaishou.com/news-releases/news-release-details/kling-ai-launches-25-turbo-video-model-industry-leading,,,,,,,,,Unknown,,API access,China,,,,2025-10-17 18:48:13+00:00,,,Industry,False,,Unreleased,False,,False,,,2025,Deep learning era,False,China,Vision,2.0,34.84465752823738
Suno v5,Audio,Audio generation,Suno,Unknown,2025-09-25,Introducing v5,https://help.suno.com/en/articles/8105153,,,,,,,,,Unknown,,Hosted access (no API),United States,,,,2025-10-03 17:59:43+00:00,,,Industry,False,,Unreleased,False,,False,,,2025,Deep learning era,False,United States,Audio,31.0,12.493526880374354
Gemini Robotics 1.5 ,"Robotics,Vision,Language","Robotic manipulation,Instruction interpretation",Google DeepMind,"Abbas Abdolmaleki, Saminda Abeyruwan, Joshua Ainslie, Jean-Baptiste Alayrac, Montserrat Gonzalez Arenas, Ashwin Balakrishna, Nathan Batchelor, Alex Bewley, Jeff Bingham, Michael Bloesch, Konstantinos Bousmalis, Philemon Brakel, Anthony Brohan, Thomas Buschmann, Arunkumar Byravan, Serkan Cabi, Ken Caluwaerts, Federico Casarini, Christine Chan, Oscar Chang, London Chappellet-Volpini, Jose Enrique Chen, Xi Chen, Hao-Tien Lewis Chiang, Krzysztof Choromanski, Adrian Collister, David B. D'Ambrosio, Sudeep Dasari, Todor Davchev, Meet Kirankumar Dave, Coline Devin, Norman Di Palo, Tianli Ding, Carl Doersch, Adil Dostmohamed, Yilun Du, Debidatta Dwibedi, Sathish Thoppay Egambaram, Michael Elabd, Tom Erez, Xiaolin Fang, Claudio Fantacci, Cody Fong, Erik Frey, Chuyuan Fu, Ruiqi Gao, Marissa Giustina, Keerthana Gopalakrishnan, Laura Graesser, Oliver Groth, Agrim Gupta, Roland Hafner, Steven Hansen, Leonard Hasenclever, Sam Haves, Nicolas Heess, Brandon Hernaez, Alex Hofer, Jasmine Hsu, Lu Huang, Sandy H. Huang, Atil Iscen, Mithun George Jacob, Deepali Jain, Sally Jesmonth, Abhishek Jindal, Ryan Julian, Dmitry Kalashnikov, Stefani Karp, Matija Kecman, J. Chase Kew, Donnie Kim, Frank Kim, Junkyung Kim, Thomas Kipf, Sean Kirmani, Ksenia Konyushkova, Yuheng Kuang, Thomas Lampe, Antoine Laurens, Tuan Anh Le, Isabel Leal, Alex X. Lee, Tsang-Wei Edward Lee, Guy Lever, Jacky Liang, Li-Heng Lin, Fangchen Liu, Shangbang Long, Caden Lu, Sharath Maddineni, Anirudha Majumdar, Kevis-Kokitsi Maninis, Andrew Marmon, Sergio Martinez, Assaf Hurwitz Michaely, Niko Milonopoulos, Joss Moore, Robert Moreno, Michael Neunert, Francesco Nori, Joy Ortiz, Kenneth Oslund, Carolina Parada, Emilio Parisotto, Peter Pastor Sampedro, Acorn Pooley, Thomas Power, Alessio Quaglino, Haroon Qureshi, Rajkumar Vasudeva Raju, Helen Ran, Dushyant Rao, Kanishka Rao, Isaac Reid, David Rendleman, Krista Reymann, Miguel Rivas, Francesco Romano, Yulia Rubanova, Pannag R Sanketi, Dhruv Shah, Mohit Sharma, Kathryn Shea, Mohit Shridhar, Charles Shu, Vikas Sindhwani, Sumeet Singh, Radu Soricut, Rachel Sterneck, Ian Storz, Razvan Surdulescu, Jie Tan, Jonathan Tompson, Saran Tunyasuvunakool, Jake Varley, Grace Vesom, Giulia Vezzani, Maria Bauza Villalonga, Oriol Vinyals, René Wagner, Ayzaan Wahid, Stefan Welker, Paul Wohlhart, Chengda Wu, Markus Wulfmeier, Fei Xia, Ted Xiao, Annie Xie, Jinyu Xie, Peng Xu, Sichun Xu, Ying Xu, Zhuo Xu, Jimmy Yan, Sherry Yang, Skye Yang, Yuxiang Yang, Hiu Hong Yu, Wenhao Yu, Li Yang Ku, Wentao Yuan, Yuan Yuan, Jingwei Zhang, Tingnan Zhang, Zhiyuan Zhang, Allan Zhou, Guangyao Zhou and Yuxiang Zhou",2025-09-25,Gemini Robotics 1.5 brings AI agents into the physical world,"https://deepmind.google/discover/blog/gemini-robotics-15-brings-ai-agents-into-the-physical-world/

https://storage.googleapis.com/deepmind-media/gemini-robotics/Gemini-Robotics-1-5-Tech-Report.pdf",,,,,,,"Google TPU v4,Google TPU v5e,Google TPU v6e Trillium",,Unknown,,Unreleased,Multinational,,,,2025-10-06 18:43:24+00:00,,,Industry,False,,Unreleased,False,,False,,,2025,Deep learning era,False,United States,Multimodal,31.0,12.493526880374354
Gemini Robotics-ER 1.5,"Vision,Language,Speech","Instruction interpretation,Robotic manipulation,Image captioning,Object detection,Search,Language modeling/generation,Question answering,Speech recognition (ASR)",Google DeepMind,"Abbas Abdolmaleki, Saminda Abeyruwan, Joshua Ainslie, Jean-Baptiste Alayrac, Montserrat Gonzalez Arenas, Ashwin Balakrishna, Nathan Batchelor, Alex Bewley, Jeff Bingham, Michael Bloesch, Konstantinos Bousmalis, Philemon Brakel, Anthony Brohan, Thomas Buschmann, Arunkumar Byravan, Serkan Cabi, Ken Caluwaerts, Federico Casarini, Christine Chan, Oscar Chang, London Chappellet-Volpini, Jose Enrique Chen, Xi Chen, Hao-Tien Lewis Chiang, Krzysztof Choromanski, Adrian Collister, David B. D'Ambrosio, Sudeep Dasari, Todor Davchev, Meet Kirankumar Dave, Coline Devin, Norman Di Palo, Tianli Ding, Carl Doersch, Adil Dostmohamed, Yilun Du, Debidatta Dwibedi, Sathish Thoppay Egambaram, Michael Elabd, Tom Erez, Xiaolin Fang, Claudio Fantacci, Cody Fong, Erik Frey, Chuyuan Fu, Ruiqi Gao, Marissa Giustina, Keerthana Gopalakrishnan, Laura Graesser, Oliver Groth, Agrim Gupta, Roland Hafner, Steven Hansen, Leonard Hasenclever, Sam Haves, Nicolas Heess, Brandon Hernaez, Alex Hofer, Jasmine Hsu, Lu Huang, Sandy H. Huang, Atil Iscen, Mithun George Jacob, Deepali Jain, Sally Jesmonth, Abhishek Jindal, Ryan Julian, Dmitry Kalashnikov, Stefani Karp, Matija Kecman, J. Chase Kew, Donnie Kim, Frank Kim, Junkyung Kim, Thomas Kipf, Sean Kirmani, Ksenia Konyushkova, Yuheng Kuang, Thomas Lampe, Antoine Laurens, Tuan Anh Le, Isabel Leal, Alex X. Lee, Tsang-Wei Edward Lee, Guy Lever, Jacky Liang, Li-Heng Lin, Fangchen Liu, Shangbang Long, Caden Lu, Sharath Maddineni, Anirudha Majumdar, Kevis-Kokitsi Maninis, Andrew Marmon, Sergio Martinez, Assaf Hurwitz Michaely, Niko Milonopoulos, Joss Moore, Robert Moreno, Michael Neunert, Francesco Nori, Joy Ortiz, Kenneth Oslund, Carolina Parada, Emilio Parisotto, Peter Pastor Sampedro, Acorn Pooley, Thomas Power, Alessio Quaglino, Haroon Qureshi, Rajkumar Vasudeva Raju, Helen Ran, Dushyant Rao, Kanishka Rao, Isaac Reid, David Rendleman, Krista Reymann, Miguel Rivas, Francesco Romano, Yulia Rubanova, Pannag R Sanketi, Dhruv Shah, Mohit Sharma, Kathryn Shea, Mohit Shridhar, Charles Shu, Vikas Sindhwani, Sumeet Singh, Radu Soricut, Rachel Sterneck, Ian Storz, Razvan Surdulescu, Jie Tan, Jonathan Tompson, Saran Tunyasuvunakool, Jake Varley, Grace Vesom, Giulia Vezzani, Maria Bauza Villalonga, Oriol Vinyals, René Wagner, Ayzaan Wahid, Stefan Welker, Paul Wohlhart, Chengda Wu, Markus Wulfmeier, Fei Xia, Ted Xiao, Annie Xie, Jinyu Xie, Peng Xu, Sichun Xu, Ying Xu, Zhuo Xu, Jimmy Yan, Sherry Yang, Skye Yang, Yuxiang Yang, Hiu Hong Yu, Wenhao Yu, Li Yang Ku, Wentao Yuan, Yuan Yuan, Jingwei Zhang, Tingnan Zhang, Zhiyuan Zhang, Allan Zhou, Guangyao Zhou and Yuxiang Zhou",2025-09-25,Gemini Robotics 1.5 brings AI agents into the physical world,"https://deepmind.google/discover/blog/gemini-robotics-15-brings-ai-agents-into-the-physical-world/

https://storage.googleapis.com/deepmind-media/gemini-robotics/Gemini-Robotics-1-5-Tech-Report.pdf",,SOTA improvement,,,,,"Google TPU v4,Google TPU v5e,Google TPU v6e Trillium",,Unknown,,API access,Multinational,,,,2025-10-06 18:43:24+00:00,,,Industry,False,,Unreleased,False,,False,,,2025,Deep learning era,True,United States,Multimodal,31.0,12.493526880374354
GigaEmbeddings,Language,Semantic embedding,"Sber,Moscow Institute of Physics and Technology","Egor Kolodin, Daria Khomich, Nikita Savushkin, Anastasia Ianina, Fyodor Minkin",2025-09-25,GigaEmbeddings — Efficient Russian Language Embedding Model,https://aclanthology.org/2025.bsnlp-1.3/,,,3000000000.0,,49000000000.0,,,,Confident,,Open weights (unrestricted),Russia,GigaChat Lite (GigaChat-20B-A3B),8.82e+20,,2025-10-16 21:17:36+00:00,,,"Academia, Industry, Government",False,,Unreleased,False,,False,,Operation counting,2025,Deep learning era,False,Russia,Language,,
